year,month,period,rate
2016,6,13,0.0253
2016,6,14,0.0256
2016,6,15,0.0259
2016,6,16,0.0262
2016,6,17,0.0265
2016,6,18,0.0267
2016,6,19,0.0269
2016,6,20,0.0271
2016,6,21,0.0273
2016,6,22,0.0275
2016,6,23,0.0276
2016,6,24,0.0278
2016,6,25,0.0279
2016,7,1,0.0169
2016,7,2,0.0183
2016,7,3,0.0191
2016,7,4,0.0199
2016,7,5,0.0207
2016,7,6,0.0214
2016,7,7,0.0221
2016,7,8,0.0228
2016,7,9,0.0234
2016,7,10,0.024
2016,7,11,0.0244
2016,7,12,0.0249
2016,7,13,0.0253
2016,7,14,0.0257
2016,7,15,0.026
2016,7,16,0.0263
2016,7,17,0.0266
2016,7,18,0.0269
2016,7,19,0.0271
2016,7,20,0.0273
2016,7,21,0.0275
2016,7,22,0.0276
2016,7,23,0.0278
2016,7,24,0.0279
2016,7,25,0.0281
2016,8,1,0.0173
2016,8,2,0.018
2016,8,3,0.0185
2016,8,4,0.0191
2016,8,5,0.0198
2016,8,6,0.0205
2016,8,7,0.0259
2016,8,8,0.0218
2016,8,9,0.0225
2016,8,10,0.023
2016,8,11,0.0236
2016,8,12,0.0241
2016,8,13,0.0245
2016,8,14,0.0249
2016,8,15,0.0253
2016,8,16,0.0256
2016,8,17,0.0259
2016,8,18,0.0262
2016,8,19,0.0264
2016,8,20,0.0267
2016,8,21,0.0269
2016,8,22,0.027
2016,8,23,0.0272
2016,8,24,0.0273
2016,8,25,0.0274
2016,9,1,0.0174
2016,9,2,0.0178
2016,9,3,0.0179
2016,9,4,0.0184
2016,9,5,0.0189
2016,9,6,0.0195
2016,9,7,0.0246
2016,9,8,0.0208
2016,9,9,0.0213
2016,9,10,0.0218
2016,9,11,0.0223
2016,9,12,0.0228
2016,9,13,0.0232
2016,9,14,0.0236
2016,9,15,0.024
2016,9,16,0.0243
2016,9,17,0.02455
2016,9,18,0.0248
2016,9,19,0.0251
2016,9,20,0.0253
2016,9,21,0.0255
2016,9,22,0.0257
2016,9,23,0.0258
2016,9,24,0.026
2016,9,25,0.0261
2016,10,1,0.0173
2016,10,2,0.0174
2016,10,3,0.0174
2016,10,4,0.0195
2016,10,5,0.0183
2016,10,6,0.0189
2016,10,7,0.019467
2016,10,8,0.020033
2016,10,9,0.0206
2016,10,10,0.02105
